portfolio_run_id,gate_threshold,max_assets,high_corr_scale,execution_delay_bars,latency_lookback_bars,total_trades,gated_signals_count,gated_cluster_window_count,portfolio_net_pnl,portfolio_profit_factor
portfolio_5c68b8de3044,0.85,1,0.5,0,0,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_cc48395dfa91,0.85,1,0.5,0,1,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_7939e2d8c03f,0.85,1,0.5,0,2,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_68d5efed1e41,0.85,1,0.5,1,0,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_8987373487dc,0.85,1,0.5,1,1,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_1ffeb9c8567b,0.85,1,0.5,1,2,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_e4855aeef35e,0.85,1,0.5,2,0,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_0edf54ab50a0,0.85,1,0.5,2,1,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_e74b68c1b9cf,0.85,1,0.5,2,2,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_7be16514ee79,0.85,1,0.6,0,0,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_9b528045b5e7,0.85,1,0.6,0,1,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_eda0f45e7311,0.85,1,0.6,0,2,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_af2fc329641c,0.85,1,0.6,1,0,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_3b3e635db101,0.85,1,0.6,1,1,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_ae1ab2cc7a3a,0.85,1,0.6,1,2,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_6eb5ee61fe0b,0.85,1,0.6,2,0,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_5a8dd0d77615,0.85,1,0.6,2,1,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_34a1bee9e246,0.85,1,0.6,2,2,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_b2aab0127180,0.85,2,0.25,0,0,18,0,0,-19.90875554856198,0.5181386146660921
portfolio_6a81135443f9,0.85,2,0.25,0,1,17,1,1,-22.43017319934221,0.4571115052997266
portfolio_8f4af32466ef,0.85,2,0.25,0,2,16,3,3,-28.48809125509827,0.31048874028231416
portfolio_7e62148ce69d,0.85,2,0.25,1,0,18,0,0,-30.021457100808522,0.3013422399469477
portfolio_34c5996fe8c8,0.85,2,0.25,1,1,17,1,1,-32.92374222550637,0.23380041419718808
portfolio_e969fc2a816b,0.85,2,0.25,1,2,16,3,3,-38.110492554129436,0.11309463518113114
portfolio_815412dc0483,0.85,2,0.25,2,0,18,0,0,-47.80235033396764,0.12923862936668454
portfolio_5d7b8798aa53,0.85,2,0.25,2,1,17,1,1,-50.32257167469791,0.08333060656818547
portfolio_a5393071147e,0.85,2,0.25,2,2,16,3,3,-51.444301039916006,0.06289733095071291
